Signal,ESP32_Pin,ESP32_Package_Pad,Description
CAM_D9,GPIO10,U1 pad 15,OV2640 pin 12 DATA9; moved off GPIO33-37
CAM_D8,GPIO11,U1 pad 16,OV2640 pin 14 DATA8; moved off GPIO33-37
CAM_D7,GPIO12,U1 pad 17,OV2640 pin 16 DATA7; moved off GPIO33-37
CAM_D6,GPIO13,U1 pad 18,OV2640 pin 18 DATA6; moved off GPIO33-37
CAM_D5,GPIO14,U1 pad 19,OV2640 pin 20 DATA5; moved off GPIO33-37
CAM_D4,GPIO38,U1 pad 43,OV2640 pin 22 DATA4
CAM_D3,GPIO39,U1 pad 44,OV2640 pin 21 DATA3
CAM_D2,GPIO40,U1 pad 45,OV2640 pin 19 DATA2
CAM_XCLK,GPIO15,U1 pad 21,OV2640 pin 13 XCLK1
CAM_PCLK,GPIO41,U1 pad 47,OV2640 pin 17 PCLK
CAM_VSYNC,GPIO16,U1 pad 22,OV2640 pin 7 VSYNC
CAM_HREF,GPIO17,U1 pad 23,OV2640 pin 9 HREF
CAM_SIOD,GPIO8,U1 pad 13,OV2640 pin 3 SIOD; pullup to 2V8
CAM_SIOC,GPIO9,U1 pad 14,OV2640 pin 5 SIOC; pullup to 2V8
CAM_RESETB,GPIO18,U1 pad 24,OV2640 pin 6 RESETB
CAM_PWDN,GPIO21,U1 pad 27,OV2640 pin 8 PWDN
LED_STATUS,GPIO47,U1 pad 37,"Status LED; pad 37 is GPIO47/SPICLK_P, not GPIO33-37 PSRAM bus"
CHG_DETECT,GPIO4,U1 pad 9,5V detect divider ~2.98V at 5V
WAKE_BUTTON,GPIO5,U1 pad 10,Wake button / charger ID
BOOT,GPIO0,U1 pad 5,Programming boot strap pad
UART_TX,U0TXD/GPIO43,U1 pad 49,Programming UART TX
UART_RX,U0RXD/GPIO44,U1 pad 50,Programming UART RX
